gender,income_type,annual_income,employment_years,education_level,existing_loan_balance,credit_inquiries,past_due_count,payment_status,approval_status
Male,Working,59500.0,8.8,Secondary,12300.0,4,1,0,Approved
Female,Commercial associate,34700.0,9.6,Higher education,10600.0,2,0,0,Rejected
Male,Student,55500.0,6.4,Higher education,26200.0,1,0,0,Approved
Male,Pensioner,39300.0,5.1,Secondary,29700.0,1,1,0,Rejected
Female,Working,52800.0,0.9,Secondary,18900.0,3,0,1,Rejected
Other,Working,18900.0,4.2,Secondary,6200.0,1,2,0,Rejected
Male,State servant,36000.0,0.0,Higher education,38600.0,2,1,0,Rejected
Male,State servant,115700.0,2.1,Higher education,22000.0,1,1,0,Rejected
Female,Commercial associate,87000.0,7.0,Higher education,15100.0,1,1,0,Approved
Female,Commercial associate,108400.0,5.9,Secondary,17700.0,3,0,0,Approved
Female,Working,111800.0,22.4,Secondary,3700.0,0,1,0,Approved
Male,Working,81100.0,0.0,Higher education,10600.0,4,2,0,Rejected
Male,Working,48800.0,5.8,Secondary,27700.0,2,0,0,Approved
Male,Working,37500.0,0.0,Higher education,3500.0,3,1,0,Rejected
Female,Working,100300.0,4.5,Secondary,3400.0,4,0,0,Approved
Female,Pensioner,61600.0,4.7,Secondary,22100.0,2,0,0,Rejected
Male,Working,183900.0,10.9,Higher education,16800.0,2,0,0,Approved
Female,Working,50800.0,4.2,Higher education,3500.0,4,1,1,Rejected
Male,Commercial associate,145500.0,5.5,Higher education,9900.0,2,0,0,Approved
Male,Working,55800.0,4.3,Secondary,15100.0,1,1,0,Rejected
Male,Working,109200.0,0.0,Lower secondary,13900.0,1,1,0,Rejected
Female,Commercial associate,128500.0,3.1,Incomplete higher,15900.0,2,0,0,Approved
Other,Working,37800.0,4.5,Incomplete higher,9300.0,3,1,0,Rejected
Male,Commercial associate,48100.0,6.9,Higher education,14400.0,3,0,0,Rejected
Male,State servant,37600.0,9.4,Higher education,18800.0,2,0,0,Approved
Female,Working,34400.0,5.3,Higher education,17900.0,0,0,0,Rejected
Female,State servant,80800.0,5.2,Secondary,9500.0,3,0,0,Approved
Female,State servant,54800.0,0.0,Secondary,20000.0,2,1,0,Rejected
Female,Pensioner,61300.0,9.3,Higher education,5600.0,2,1,0,Rejected
Male,Commercial associate,76900.0,2.9,Secondary,7400.0,3,0,0,Approved
Male,Commercial associate,26000.0,10.4,Secondary,22100.0,3,1,2,Rejected
Male,Commercial associate,106800.0,13.3,Incomplete higher,19700.0,1,1,0,Rejected
Female,Commercial associate,51200.0,5.5,Secondary,10200.0,4,2,0,Approved
Female,Working,76100.0,1.2,Higher education,7200.0,0,0,3,Rejected
Female,Student,79200.0,6.4,Higher education,8000.0,0,0,0,Approved
Female,Commercial associate,111000.0,8.3,Secondary,18300.0,0,0,0,Approved
Female,Pensioner,57100.0,4.9,Incomplete higher,16000.0,2,0,0,Approved
Female,Working,23000.0,3.6,Secondary,6900.0,2,0,0,Rejected
Female,Working,61400.0,9.4,Incomplete higher,19700.0,0,0,0,Rejected
Male,Commercial associate,65500.0,9.1,Higher education,9900.0,3,1,0,Rejected
Female,Commercial associate,37600.0,4.7,Secondary,5800.0,2,2,0,Rejected
Male,Working,64000.0,0.0,Secondary,8700.0,2,0,0,Approved
Male,Working,50900.0,8.9,Secondary,12900.0,3,1,0,Rejected
Female,Working,32700.0,2.5,Secondary,19200.0,3,0,0,Rejected
Male,Commercial associate,81000.0,7.6,Secondary,18400.0,3,0,0,Approved
Male,Working,46500.0,7.3,Academic degree,11300.0,6,0,0,Rejected
Female,Student,49900.0,0.0,Secondary,14000.0,3,2,0,Rejected
Female,Working,48600.0,6.9,Incomplete higher,10600.0,2,1,1,Rejected
Male,Working,104400.0,9.2,Secondary,6900.0,3,2,1,Rejected
Female,Working,58800.0,9.8,Academic degree,11600.0,4,2,0,Rejected
Female,Commercial associate,62000.0,7.1,Secondary,2400.0,2,1,0,Rejected
Female,Commercial associate,49100.0,0.0,Secondary,30100.0,0,0,0,Rejected
Male,Commercial associate,73700.0,13.1,Higher education,13800.0,2,0,0,Rejected
Male,Student,109900.0,8.6,Secondary,16500.0,0,0,0,Approved
